Sort Order,One Coventry Plan 2022-30 Vision,One Coventry Plan 2016-24 Vision,One Coventry Plan 2016-24 Priority,Council Plan 2016-24 Metric,Progress towards 2016-24 Plan,Target Status towards 2016-24 Plan,Council Plan 2022-30 Metric,Progress towards 2022-30 Plan,Target,Target Status towards 2022-30 Plan,Metric,Unit,2015/16 end of year metric value,2015/16 end of year metric scope,2015/16 end of year metric date,2016/17 half year metric value,2016/17 half year metric scope,2016/17 half year metric date,2016/17 end of year metric value,2016/17 end of year metric scope,2016/17 end of year metric date,2017/18 half year metric value,2017/18 half year metric scope,2017/18 half year metric date,2017/18 end of year metric value,2017/18 end of year metric scope,2017/18 end of year metric date,2018-19 end of year metric value,2018-19 end of year metric scope,2018-19 end of year metric date,2019-20 end of year metric value,2019-20 end of year metric scope,2019-20 end of year metric date,2020-21 end of year metric value,2020-21 end of year metric scope,2020-21 end of year metric date,2021-22 end of year metric value,2021-22 end of year metric scope,2021-22 end of year metric date,2022-23 end of year metric value,2022-23 end of year metric scope,2022-23 end of year metric date,2016/17 end of year metric comparator metric value,2016/17 end of year metric comparator metric scope,2016/17 end of year metric comparator metric date,2017/18 half year metric comparator metric value,2017/18 half year metric comparator metric scope,2017/18 half year metric comparator metric date,2017/18 end of year metric comparator metric value,2017/18 end of year comparator metric scope,2017/18 end of year metric comparator metric date,2018-19 end of year comparator metric value,2018-19 end of year comparator metric scope,2018-19 end of year comparator metric date,2019-20 end of year comparator metric value,2019-20 end of year comparator metric scope,2019-20 end of year comparator metric date,2020-21 end of year comparator metric value,2020-21 end of year comparator metric scope,2020-21 end of year comparator metric date,2021-22 end of year comparator metric value,2021-22 end of year comparator metric scope,2021-22 end of year comparator metric date,2022-23 end of year comparator metric value,2022-23 end of year comparator metric scope,2022-23 end of year comparator metric date,2016/17 end of year metric national metric value,2016/17 end of year metric national metric scope,2016/17 end of year metric national metric date,2017/18 half year metric national metric value,2017/18 half year metric national metric scope,2017/18 half year metric national metric date,2017/18 end of year metric national metric value,2017/18 end of year metric national metric scope,2017/18 end of year metric national metric date,2018-19 end of year national metric value,2018-19 end of year national metric scope,2018-19 end of year national metric date,2019-20 end of year national metric value,2019-20 end of year national metric scope,2019-20 end of year national metric date,2020-21 end of year national metric value,2020-21 end of year national metric scope,2020-21 end of year national metric date,2021-22 end of year national metric value,2021-22 end of year national metric scope,2021-22 end of year national metric date,2022-23 end of year national metric value,2022-23 end of year national metric scope,2022-23 end of year national metric date
11,Increasing the economic prosperity of the city and region,Globally connected,Supporting businesses to grow,TRUE,,,TRUE,BETTER,To increase,No Target Set,"Active enterprises (rate per 10,000) (proxy for new businesses)","rate per 10,000 population",326,Coventry,2015 revised,,,,342,Coventry,2016,,,,355,Coventry,2017,340,Coventry ,2018,341,Coventry ,2019,330,Coventry ,2020 revised,371,Coventry ,2021 revised,374,Coventry,2022,367,West Midlands Combined Authority,2016,,,,395,West Midlands Combined Authority,2017,377,West Midlands Combined Authority,2018,387,West Midlands Combined Authority,2019,396,West Midlands Combined Authority,2020,394,West Midlands Combined Authority,2021,406,West Midlands Combined Authority ,2022,499,England,2016,,,2017,518,England,2017,515,England,2018,522,England,2019,526,England,2020,526,England,2021,523,England,2022
12,Increasing the economic prosperity of the city and region,Globally connected,"Supply, choice and quality of housing",TRUE,,,TRUE,BETTER,To increase,No Target Set,Change in Council Tax Base (change from 2009 base) (proxy for number of new houses in the city),number,105.45,Coventry,2015/16 revised,105.45,Coventry,2015/16 revised,106.67,Coventry,2016/17,,,,107.37,Coventry,2017/18,108.83,Coventry ,2018/19,109.15,Coventry ,2019/20,110.28,Coventry ,2020/21,111.74,Coventry ,2021/22 revised,112.42,Coventry,2022/23,105.84,West Midlands Combined Authority,2016/17,,,,106.59,West Midlands Combined Authority,2017/18,107.08,West Midlands Combined Authority,2018/19,107.76,West Midlands Combined Authority,2019/20,108.36,West Midlands Combined Authority,2020/21,108.98,West Midlands Combined Authority,2021/22 revised,109.55,West Midlands Combined Authority ,2022/23,107.75,England,2016/17,,,,108.76,England,2017/18,109.73,England,2018/19,110.92,England,2019/20,111.94,England,2020/21,112.98,England,2021/22 revised,113.72,England,2022/23
13,Improving outcomes and tackling inequalities within our communities,Locally committed,Make communities safer,TRUE,,,TRUE,WORSE,To decrease,No Target Set,"Crime (rate per 1,000 population)","rate per 1,000 population",61.5,Coventry,2015/16 refreshed,64.5,Coventry,Apr-Sep 2016/17 annualised,66.3,Coventry, 2016/17,28.61,Coventry,Apr-Sep 2017/18,71.3,Coventry,2017/18,76.5,Coventry ,Jan 2019 rolling year revised,77,Coventry ,2019/20 revised,84.3,Coventry ,2020/21,105.6,Coventry ,2021/22,124.1,Coventry,2022/23,74.1,Wolverhampton,2016/17,34.56,Wolverhampton,Apr-Sep 2017/18,83.1,Wolverhampton,2017/18,97.4,Wolverhampton,Jan 2019 rolling year,95,Wolverhampton,Jan 2020 rolling year,,,,131.4,Wolverhampton,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Improving outcomes and tackling inequalities within our communities,Locally committed,Make communities safer,TRUE,,,TRUE,BETTER,To decrease,No Target Set,"First time entrants to youth justice system (rate per 100,000 young people aged 10-17)","rate per 100,0000 population 10-17",399,Coventry,2015/16,415,Coventry,Oct 15-Sep 16 Local Data,432,Coventry,2016/17,334,Coventry,Oct 2016-Sep 2017,311,Coventry,2017/18,235,Coventry ,2018/19,224,Coventry ,2019/20,230,Coventry ,2020/21,112,Coventry ,2021/22,93,Coventry,2022/23,422,Family Group Average,2015/16,428,Family Group Average,2016/17,,,,315,Family Group Average,2017/18,253,Family Group Average,2018/19,249,Family Group Average,Jan-Dec 2019,199,Family Group Average,Oct 20- Sep 21,200,Family Group,Oct 21-Sep 2022,,,,318,England,2016/17,,,,302,England,2017/18,224,England,2018/19,208,England,Jan-Dec 2019,154,England,Oct 20 - Oct 21,146,England,Oct 2021-Sep 2022
15,Improving outcomes and tackling inequalities within our communities,Locally committed,Make communities safer,TRUE,,,TRUE,WORSE,To decrease,No Target Set,Repeat victims of domestic violence reported,%,9.5,Coventry,2015/16,4.1,Coventry,Apr-Sep 2016/17,11.1,Coventry,2016/17 Revised,11.4,Coventry,Oct 2016 - Sep 2017,11.3,Coventry,2017/18,23.1,Coventry ,2018/19 revised,23.8,Coventry ,2019/20 revised,29.6,Coventry ,2020/21,34.7,Coventry ,2021/22,36,Coventry,2022/23,,,,,,,,,,,,,,,,,,,34.4,Wolverhampton,2021/22,35,Wolverhampton,2022/23,,,,,,,,,,,,,,,,,,,,,,,,
16,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,N/A,Better than statistical neighbours,Off-Target,Good level of development at age 5,%,63.9,Coventry,2015,,,,65.4,Coventry,2016,,,,66.1,Coventry,2017,67.8,Coventry ,2018,69,Coventry ,2019,,,,,,,61.1,Coventry,2022,66.4,Statistical Neighbours,2016,,,,67.9,Statistical Neighbours,2017,68.8,Statistical Neighbours,2018,69,Statistical Neighbours,2019,,,,,,,62.03,Statistical Neighbours,2022,69.3,England,2016,,,,70.7,England,2017,71.5,England,2018,71.8,England,2019,,,,,,,65.2,England,2022
17,Improving outcomes and tackling inequalities within our communities,Locally committed,Improving educational outcomes,TRUE,,,TRUE,WORSE,Better or equal to national average,Off-Target,Pupils attending a good/outstanding primary school,%,84.8,Coventry,2015,,,,92,Coventry,01/08/2016,94,Coventry,01/03/2017,95,Coventry,01/03/2018,95,Coventry ,01/03/2019,91,Coventry ,01/03/2020,,,,93.1,Coventry ,01/03/2022,89.4,Coventry,01/03/2023,,,,,,,86,Statistical Neighbours,01/03/2018,85,Statistical Neighbours,01/03/2019,86,Statistical Neighbours,01/03/2020,,,,89.8,Statistical Neighbours,01/03/2022,92.6,Statistical Neighbours,01/03/2020,,,,90,England,01/10/2017,90,England,01/03/2018,87,England,01/03/2019,88,England,01/03/2020,,,,91.3,England,01/03/2022,92.6,England,01/03/2022
18,Improving outcomes and tackling inequalities within our communities,Locally committed,Improving educational outcomes,TRUE,,,TRUE,BETTER,Better or equal to national average,On-Target,Pupils attending a good/outstanding secondary school,%,56.6,Coventry,2015,,,,67.9,Coventry,2016,75,Coventry,01/03/2017,74,Coventry,01/03/2018,80,Coventry ,01/03/2019,71,Coventry ,01/03/2020,,,,85.5,Coventry ,01/03/2022,85.8,Coventry,01/03/2023,,,,,,,76,Statistical Neighbours,01/03/2018,76,Statistical Neighbours,01/03/2019,72,Statistical Neighbours,01/03/2020,,,,78.9,Statistical Neighbours,01/03/2022,85.5,Statistical Neighbours,01/03/2020,,,,83,England,01/10/2017,83,England,01/03/2018,80,England,01/03/2019,80,England,01/03/2020,,,,85.2,England,01/03/2022,85.7,England,01/03/2022
19,Improving outcomes and tackling inequalities within our communities,Locally committed,Improving educational outcomes,TRUE,,,TRUE,WORSE,Better or equal to national average,Off-Target,Pupils attending a good/outstanding special school,%,81,Coventry,01/03/2016,,,,100,Coventry,01/03/2017,,,,100,Coventry,01/03/2018,100,Coventry ,01/03/2019,100,Coventry ,01/03/2020,,,,86.3,Coventry ,01/03/2022,77.1,Coventry,01/03/2023,,,,,,,,,,89,Statistical Neighbours,01/03/2019,99,Statistical Neighbours,01/03/2020,,,,92.4,Statistical Neighbours,01/03/2022,90.8,Statistical Neighbours,01/03/2020,,,,,,,,,,94,England,01/03/2019,93,England,01/03/2020,,,,94.7,England,01/03/2022,90.8,England,01/03/2022
20,Improving outcomes and tackling inequalities within our communities,Locally committed,Improving educational outcomes,TRUE,,,TRUE,WORSE,Better than statistical neighbours,Off-Target,"Key stage 2 expected standard in reading, writing & maths",%,,,,,,,49,Coventry,"2016
",,,,58,Coventry,2017,62,Coventry ,2018,62,Coventry ,2019,,,,,,,54,Coventry,2022,,,,,,,,,,,,,,,,,,,,,,55.6,Statistical Neighbours,2022,53,England,"2016
",,,,61,England,2017,64,England,2018,65,England,2019,,,,,,,59,England,2022
21,Improving outcomes and tackling inequalities within our communities,Locally committed,Improving educational outcomes,TRUE,,,TRUE,BETTER,Better than statistical neighbours,On-Target,Key stage 4: attainment 8,average score,46.2,Coventry,2015 revised,,,,48.1,Coventry,"2016
",,,,42.8,Coventry,2017,43.3,Coventry ,2018,43.6,Coventry ,2019,,,,,,,46.2,Coventry,2022,47.9,Statistical Neighbours,"2016
",,,,43.8,Statistical Neighbours,2017,43.7,Statistical Neighbours,2018,44,Statistical Neighbours,2019,,,,,,,46,Statistical Neighbours,2022,49.9,England,"2016
",,,,46.3,England,2017,46.6,England,2018,46.7,England,2019,,,,,,,48.8,England,2022
22,Improving outcomes and tackling inequalities within our communities,Locally committed,Improving educational outcomes,TRUE,,,TRUE,BETTER,Better than statistical neighbours,On-Target,Key stage 4: progress 8,relative difference,0.03,Coventry,2015,,,,-0.05,Coventry,"2016
",,,,-0.12,Coventry,2017,-0.08,Coventry ,2018,-0.12,Coventry ,2019,,,,,,,-0.03,Coventry,2022,-0.11,Statistical Neighbours,"2016
",,,,-0.09,Statistical Neighbours,2017,-0.14,Statistical Neighbours,2018,-0.14,Statistical Neighbours,2019,,,,,,,-0.12,Statistical Neighbours,2022,-0.03,England,"2016
",,,,-0.03,England,2017,-0.02,England,2018,-0.03,England,2019,,,,,,,-0.06,England,2022
23,Improving outcomes and tackling inequalities within our communities,Locally committed,Improve health and wellbeing,TRUE,,,TRUE,BETTER,To decrease,No Target Set,Overweight or obesity among children in Year 6,%,35.6,Coventry,2013/14,35.4,Coventry,2014/15,37.5,Coventry,2015/16,,,,38.2,Coventry,2016/17,37.9,Coventry ,2017/18,38.3,Coventry ,2018/19,40.6,Coventry ,2019/20,45.8,Coventry ,2020/21,41.1,Coventry,2021/22,36.6,West Midlands Region,2015/16,,,,37.1,West Midlands Region,2016/17,37.1,West Midlands Region,2017/18,37.5,West Midlands Region,2018/19,38.2,West Midlands Region,2019/20,44.2,West Midland Region,2020/21,40.8,West Midlands Region,2021/22,34.2,England,2015/16,,,,34.2,England,2016/17,34.3,England,2017/18,34.3,England,2018/19,35.2,England,2019/20,40.9,England,2020/21,37.8,England,2021/22
24,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,BETTER,<90.9,No Target Set,"Looked after children (rate per 10,000 population under 18)","rate per 10,000 population under 18",78.3,Coventry,01/03/2016,78,Coventry,01/09/2016,81.1,Coventry,01/03/2017,86.8,Coventry,01/09/2017,84,Coventry,01/03/2018,90.6,Coventry ,01/03/2019,88,Coventry ,March 2020 revised,92,Coventry ,01/03/2021 revised,89.5,Coventry ,01/03/2022 Revised,90.3,Coventry,01/03/2023,,,,,,,76.4,Statistical Neighbours,2016/17,86,Statistical Neighbours,2017/18,88,Statistical Neighbours,2018/19,90,Statistical Neighbours,2019/20,87.7,Statistical Neighbours,2020/21,,,,60.3,England,2015/16,,,,60.3,England,2016/17,64,England,2017/18,65,England,2018/19,67,England,2019/20,67,England,2020/21,,,
25,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,BETTER,<24%,On-Target,Repeat referrals to children's social care,%,28.7,Coventry,2015/16,27.4,Coventry,Apr-Sep 2016/17,24,Coventry,01/03/2017,18.1,Coventry,Apr-Sep 2017/18,21.1,Coventry,01/03/2018,25.9,Coventry ,01/03/2019,24.6,Coventry ,March 2020 revised,25,Coventry ,March 2021 revised,24.7,Coventry ,Mar-22,19.7,Coventry,March 2023 provisional,,,,22,Statistical Neighbours,2016/17,,,,22,Statistical Neighbours,2017/18,21.4,Statistical Neighbours,2018/19,24.7,Statistical Neighbours,2019/20,23.2,Statistical Neighbours,2020/21,21.2,Statistical Neighbours,2021/22,22.3,England,2015/16,21.9,England,2016/17,,,,22,England,2017/18,22,England,2018/19,22.6,England,2019/20,22.7,England,2020/21,21.5,England,2021/22
26,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,BETTER,<6%,On-Target,Percentage of new looked after children who were previously looked after (rolling 12 months),%,,,,,,,6.2,Coventry,01/03/2017,,,,8.1,Coventry,01/03/2018,8.1,Coventry ,01/03/2019,7.7,Coventry ,01/03/2020,5.6,Coventry ,01/03/2021,9.6,Coventry ,March 2022 provisional ,3.4,Coventry,March 2023 provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,WORSE,>1350,Off-Target,Homelessness cases prevented and relieved,number,1411,Coventry,2015/16 revised,500,Coventry,Apr-Sep 2016/17,922,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,659,Coventry,2017/18,413,Coventry ,2018/19,552,Coventry ,2019/20,1083,Coventry ,2020/21,1167,Coventry ,2021/22,1077,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,WORSE,>62%,Off-Target,Overall satisfaction of people who use services with their care support,%,,,,,,,,,,,,,,,,63.4,Coventry ,2018/19,63.1,Coventry ,2019/20,,,,62,Coventry ,2021/22,60.5,Coventry,2022/23,,,,,,,,,,,,,62.6,CIPFA Near Neighbours,2018/19,,,,63.2,CIPFA Near Neighbours,2019/20,63.2,CIPFA,2021/22,,,,,,,,,,,,,64.3,England,2018/19,,,,64.2,England,2019/20,63.9,England,2021/22
29,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,N/A,To increase,No Target Set,Overall satisfaction of carers with social services,%,,,,,,,,,,,,,,,,40.1,Coventry ,2018/19,,,,,,,32,Coventry ,2021/22,,,,,,,,,,,,,,,,38.5,CIPFA Near Neighbours,2018/19,,,,36.5,CIPFA Near Neighbours,2021/22,,,,,,,,,,,,,,,,38.6,England,2018/19,,,,36.3,England,2021/22,,,
30,Improving outcomes and tackling inequalities within our communities,Locally committed,Protecting our most vulnerable people,TRUE,,,TRUE,BETTER,<1380,On-Target,Adult social care service users receiving long term on-going support (rate),"rate per 100,000 population",1343,Coventry,31/03/2016,1266,Coventry,30/09/2016,1269,Coventry,31/03/2017,1240,Coventry,01/09/2017,1168,Coventry,31/03/2018,1188,Coventry ,31/03/2019,1232,Coventry ,31/03/2020,1167,Coventry ,31/03/2021,1179,Coventry ,31/03/2022 revised,1346,Coventry,31/03/2023,,,,,,,,,,,,,1596,CIPFA Near Neighbours,2018/19,1594,CIPFA Near Neighbours,2019/20,1580,CIPFA Near Neighbours,2020/21,1507,CIPFA,31/03/2022,1716,England,2015/16,1506,England,2016/17,,,,1467,England,2017/18,1446,England,2018/19,1424,England,2019/20,1386,England,2020/21,1380,England,31/03/2022
31,Improving outcomes and tackling inequalities within our communities,,,FALSE,,,TRUE,BETTER,>65.1,On Target,Adult social care outcomes met through short-term reablement service,%,,,,,,,,,,,,,,,,,,,,,,60,Coventry ,2020/21,65.1,Coventry ,2021/22 revised,75,Coventry,2022/23,,,,,,,,,,,,,,,,,,,62.1,CIPFA Near Neighbours,2020/21,68.7,CIPFA,2021/22,,,,,,,,,,,,,,,,,,,74.9,England,2020/21,77.6,England,2021/22
32,Improving outcomes and tackling inequalities within our communities,,,FALSE,,,TRUE,WORSE,To decrease,No Target Set,Percentage of children (aged under 16) living in Relative low-income families,%,,,,,,,,,,,,,,,,,,,,,,24.7,Coventry ,2019/20,23.1,Coventry ,2020/21 revised,26.7,Coventry,2021/22 provisional,,,,,,,,,,,,,,,,,,,24.6,West Midlands Region,2020/21 provisional,26.7,WMR,2021/22 provisonal ,,,,,,,,,,,,,,,,,,,18.5,England,2020/21 provisional,19.9,England,2021/22 provisional
33,Increasing the economic prosperity of the city and region,,,FALSE,,,TRUE,N/A,Below (better than) national average,N/A,Proportion of neighbourhoods amongst the 10% most deprived in England (measure of deprivation),%,,,,,,,,,,,,,,,,,,,,,,,,,14.4,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,26.4,West Midlands Combined Authority,2019,,,,,,,,,,,,,,,,,,,,,,10,England,2019,,,
