Council Plan,Priority,Council Plan Indicator,Progress,Equality Indicator,Marmot Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,Directionality,2016/17 end of year progress,2016/17 end of year target,2016/17 half year target status
Globally connected,Helping local people into jobs,TRUE,NA,FALSE,TRUE,"16-18 year olds not in education, employment or training (NEET)",%,4.7,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,N/A,N/A,No target set
Globally connected,Reducing the impact of poverty,TRUE,WORSE,FALSE,TRUE,Jobseekers allowance claimants (seasonally-adjusted),%,1.9,Coventry,Sep-16,2,Coventry,Sep-16,2.4,WMR,Sep-16,1.9,UK,Sep-16,Low is good,Wrong direction,N/A,No target set
Globally connected,Reducing the impact of poverty,TRUE,BETTER,FALSE,FALSE,Median annual pay for residents (full-time),pounds,26913,Coventry,2015,28043,Coventry,2016,26278,WMR,2016,28503,England,2016,High is good,Right direction,N/A,No target set
Globally connected,Reducing the impact of poverty,TRUE,BETTER,FALSE,FALSE,Median annual pay for residents,pounds,21905,Coventry,2015,22319,Coventry,2016,21794,WMR,2016,23350,England,2016,High is good,Right direction,N/A,No target set
Globally connected,Reducing the impact of poverty,TRUE,EQUALS,FALSE,TRUE,Gap in the JSA claimant rate between the city's most affluent and deprived wards,%,3.3,Coventry,Mar-16,3.3,Coventry,Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Similar/unchanged,N/A,No target set
Globally connected,Reducing the impact of poverty,TRUE,NA,FALSE,FALSE,Gross disposable household income,pounds,13397,Coventry,2014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,No target set
Globally connected,"Supply, choice and quality of housing",TRUE,BETTER,FALSE,FALSE,Change in Council tax base (index from 2009 base),number,4.79,Coventry,2014/15,5.45,Coventry,2015/16,5.71,CIPFA,2015/16,6.65,England,2015/16,High is good,Right direction,N/A,No target set
Globally connected,"Supply, choice and quality of housing",TRUE,BETTER,FALSE,FALSE,Council tax collectable value ,millions of pounds,120.21,Coventry,31-Mar-16,132.14,Coventry,Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,N/A,No target set
Globally connected,"Supply, choice and quality of housing",FALSE, ,FALSE,FALSE,Council tax collectable - number of properties,number,139179,Coventry,31-Mar-16,140171,Coventry,Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Globally connected,"Supply, choice and quality of housing",TRUE,BETTER,FALSE,FALSE,Properties in higher Council Tax bands (C to H) - %,%,29.2,Coventry,31-Mar-16,29.36,Coventry,Sep-16,35.23,WMM,31-Mar-16,55.74,England,31-Mar-16,High is good,Right direction,N/A,No target set
Globally connected,"Supply, choice and quality of housing",FALSE, ,FALSE,FALSE,Properties in higher Council Tax bands (C to H) - number,number,40639,Coventry,31-Mar-16,41158,Coventry,Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Globally connected,"Supply, choice and quality of housing",TRUE,BETTER,FALSE,FALSE,Council Tax collection rate,%,95.8,Coventry,2015/16,55.4,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,N/A,No target set
Locally committed,"Create an attractive, cleaner & greener city",TRUE,WORSE,FALSE,FALSE,Fly tips reported in the city,number,2316,Coventry,2015/16,1505,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,2200,Off-target
Locally committed,"Create an attractive, cleaner & greener city",TRUE,BETTER,FALSE,FALSE,Household waste recycled and composted,%,30.3,Coventry,2015/16,34.2,Coventry,Jul-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,50 by 2020,Off-target
Locally committed,"Create an attractive, cleaner & greener city",TRUE,NA,FALSE,FALSE,Roads and footways in a good/acceptable condition...principal roads (A roads),%,99,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,95,N/A
Locally committed,"Create an attractive, cleaner & greener city",TRUE,NA,FALSE,FALSE,Roads and footways in a good/acceptable condition...non-principal roads (B & C roads),%,98,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,95,N/A
Locally committed,"Create an attractive, cleaner & greener city",TRUE,NA,FALSE,FALSE,Roads and footways in a good/acceptable condition...unclassified roads,%,80,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,80,N/A
Locally committed,"Create an attractive, cleaner & greener city",TRUE,NA,FALSE,FALSE,Roads and footways in a good/acceptable condition...footways,%,36,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,38,N/A
Locally committed,Make communities safer,TRUE,WORSE,FALSE,FALSE,"Crime rate per 1,000 population","Rate 1,000 population",63.1,Coventry,2015/16,64.5,Coventry,Apr-Sep 2016,68.8,Wolverhampton,2015/16,N/A,N/A,N/A,Low is good,Wrong direction,N/A,No target set
Locally committed,Make communities safer,FALSE, ,FALSE,FALSE,Number of crimes,number,21241,Coventry,2015/16,11153,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,N/A,N/A
Locally committed,Make communities safer,TRUE,WORSE,FALSE,FALSE,First time entrants to youth justice system,"Rate per 100,0000 population 10-17",399,Coventry,2015/16,415,Coventry,Oct 15-Sep 16,422,Family Group Average,N/A,N/A,N/A,N/A,Low is good,Wrong direction,N/A,No target set
Locally committed,Make communities safer,TRUE,CANT SAY,TRUE,FALSE,Domestic violence (crime and non crime) offences known to the police,number,5972,Coventry,2015/16,3178,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,TRUE,BETTER,FALSE,FALSE,Repeat victims of domestic violence reported,%,9.5,Coventry,2015/16,4.1,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,N/A,No target set
Locally committed,Improving educational outcomes,TRUE,BETTER,FALSE,FALSE,Primary schools judged as good/outstanding by Ofsted,%,86,Coventry,Mar-16,94,Coventry,Oct-16,84,Statistical Neighbours,Oct-16,89,England,Oct-16,High is good,Right direction,86,On-target
Locally committed,Improving educational outcomes,TRUE,BETTER,FALSE,FALSE,Secondary schools judged as good/outstanding by Ofsted,%,57,Coventry,Mar-16,68,Coventry,Oct-16,78,Statistical Neighbours,Oct-16,81,England,Oct-16,High is good,Right direction,79,Off-target
Locally committed,Improving educational outcomes,TRUE,NA,FALSE,TRUE,"Key Stage 2: expected standard in reading, writing & maths",%,N/A,N/A,N/A,49,Coventry,2016,48,Statistical Neighbours,2016,53,England,2016,High is good,N/A,53,Off-target
Locally committed,Improving educational outcomes,TRUE,BETTER,FALSE,TRUE,Key Stage 4: Attainment 8,Average score,45,Coventry,2015,47.9,Coventry,2016,47.7,Statistical Neighbours,2016,49.8,England,2016,High is good,Right direction,49.8+,Off-target
Locally committed,Improving educational outcomes,TRUE,WORSE,FALSE,TRUE,Key Stage 4: Progress 8,Relative measure difference ,0.03,Coventry,2015,-0.04,Coventry,2016,-0.11,Statistical Neighbours,2016,-0.03,England,2016,High is good,Wrong direction,0+,Off-target
Locally committed,Improving educational outcomes,TRUE,NA,FALSE,FALSE,Key Stage 4: Basics A*-C English and Maths,%,N/A,N/A,N/A,61,Coventry,2016,N/A,N/A,N/A,62,England,2016,High is good,N/A,62+,Off-target
Locally committed,Improving educational outcomes,TRUE,NA,FALSE,FALSE,Key Stage 5: Level 3 value added,number,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improve health and wellbeing,TRUE,BETTER,FALSE,FALSE,Adults achieving 150 minutes of physical activity per week,%,55.4,Coventry,2014,58.8,Coventry,2015,55.1,WMR,2015,57,England,2015,High is good,Right direction,N/A,No target set
Locally committed,Improve health and wellbeing,TRUE,WORSE,FALSE,FALSE,Smoking prevalence in adults: current smokers,%,15.8,Coventry,2014,16.6,Coventry,2015,15.7,WMR,2015,16.9,England,2015,Low is good,Wrong direction,N/A,No target set
Locally committed,Improve health and wellbeing,TRUE,WORSE,FALSE,FALSE,"Smoking quitters at four weeks (rate per 100,000 smokers)","Rate per 100,000 smokers ",5904,Coventry,2014/15,4493,Coventry,2015/16,3522,WMR,2015/16,2598,England,2015/16,High is good,Wrong direction,N/A,No target set
Locally committed,Improve health and wellbeing,FALSE, ,FALSE,FALSE,Smoking quitters at four weeks (number of quitters),number,2533,Coventry,2014/15,2075,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improve health and wellbeing,TRUE,NA,FALSE,FALSE,"Hospital admissions caused by injuries in children 0-14 per 10,000","Rate per 10,000",174.5,Coventry,2013/14,149.9,Coventry,2014/15,N/A,N/A,N/A,109.5,England,2014/15,Low is good,N/A,N/A,No target set
Locally committed,Improve health and wellbeing,FALSE, ,FALSE,FALSE,Hospital admissions caused by injuries in children 0-14 - number of children,number,1077,Coventry,2013/14,944,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,N/A,N/A,N/A
Locally committed,Improve health and wellbeing,TRUE,BETTER,TRUE,FALSE,"Conceptions to girls aged under 18 (rate per 1,000 girls aged 15-17)","Rate per 1,000 girls aged 15-17",33.8,Coventry,2014,30.4,Coventry,Jun-15,24.7,WMR,Jun-15,21.8,England,Jun-15,Low is good,Right direction,N/A,No target set
Locally committed,Improve health and wellbeing,TRUE,NA,FALSE,FALSE,Breastfeeding rates at 6-8 weeks,%,43.9,Coventry and Rugby CCG,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,No target set
Locally committed,Improve health and wellbeing,TRUE,NA,FALSE,FALSE,Male healthy life expectancy at birth,years,60.6,Coventry,2012-14,N/A,N/A,N/A,62.4,WMR,2012-14,63.4,England,2012-14,High is good,N/A,N/A,No target set
Locally committed,Improve health and wellbeing,TRUE,NA,FALSE,FALSE,Female healthy life expectancy at birth,years,62.7,Coventry,2012-14,N/A,N/A,N/A,62.5,WMR,2012-14,64,England,2012-14,High is good,Right direction,N/A,No target set
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,TRUE,Good level of development at age 5,%,63.9,Coventry,2015,65.4,Coventry,2016,66.4,SN,2016,69.3,England,2016,High is good,Right direction,N/A,No target set
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,TRUE,Gap (in the good level of development at age 5) between the lowest achieving 20% and the rest,%,36,Coventry,2015,35.1,Coventry,2016,35.6,SN,2016,31.4,England,2016,Low is good,Right direction,31.4,Off-target
Locally committed,Protecting our most vulnerable people,TRUE,EQUALS,FALSE,FALSE,"Looked after children rate per 10,000 ","Rate per 10,000 population under 18",78.3,Coventry,Mar-16,78,Coventry,Sep-16,81.3,WMR,Mar-16,64.4,England,Mar-16,Low is good,Similar/unchanged,78,On-target
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,FALSE,Looked after children number,number,580,Coventry,Mar-16,578,Coventry,Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,N/A,N/A,N/A
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,FALSE,Repeat referrals to children's social care,%,28.7,Coventry,2015/16,27.4,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,<15,Off-target
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,FALSE,% of children with three or more placements in the previous 12 months,%,14.1,Coventry,2015/16,11.9,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,<10,Off-target
Locally committed,Protecting our most vulnerable people,TRUE,WORSE,FALSE,FALSE,Common assessment framework assessments closed with all actions complete,%,68.8,Coventry,2015/16,68.7,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Wrong direction,>70,Off-target
Locally committed,Protecting our most vulnerable people,TRUE,CANT SAY,TRUE,FALSE,Households accepted as statutory homeless (in priority need),number,533,Coventry,2015/16,311,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Protecting our most vulnerable people,TRUE,CANT SAY,TRUE,FALSE,Homelessness cases prevented and relieved,number,1536,Coventry,2015/16,500,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Protecting our most vulnerable people,TRUE,NA,FALSE,FALSE,Proportion of adult social care service users who feel safe,%,70,Coventry,2015/16,N/A,N/A,N/A,83.3,CIPFA,2015/16,84.5,England,2015/16,High is good,N/A,68,N/A
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,FALSE,Adults using social care who receive self-directed support,%,80,Coventry,Mar-16,88,Coventry,Sep-16,91,CIPFA,2015/16,88.2,England,Mar-16,High is good,Right direction,90,Off-target
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,FALSE,Adults using social care who receive direct payments,%,21,Coventry,Mar-16,24,Coventry,Sep-16,29,CIPFA,Mar-16,28,England,Mar-16,High is good,Right direction,21,On-target
Locally committed,Protecting our most vulnerable people,TRUE,CANT SAY,FALSE,FALSE,"Adult safeguarding (rate of S42 enquiries per 100,000 population)","Rate per 100,000 population",357,Coventry,2015/16,332,Coventry,Apr-Sep 2016,290,WMR,2015/16,239,England,2015/16,N/A,Can't say,N/A,Target not applicable
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,FALSE,Adult safeguarding - number,number,966,Coventry,2015/16,499,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Protecting our most vulnerable people,TRUE,BETTER,FALSE,FALSE,Regulated adult social care services rated as inadequate,%,3,Coventry,31-Mar-16,0,Coventry,30-Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,<=3,On-target
Locally committed,Protecting our most vulnerable people,TRUE,EQUALS,FALSE,FALSE,Adult social care service users receiving long term on-going support-rate,"Rate per 100,000 population ",1343,Coventry,31-Mar-16,1266,Coventry,30-Sep-16,1386,CIPFA,31-Mar-16,1716,England,31-Mar-16,N/A,N/A,N/A,N/A
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,FALSE,Adult social care service users receiving long term on-going support-number,number,3631,Coventry,31-Mar-16,3421,Coventry,30-Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Similar/unchanged,3400-3800,On-target
Locally committed,Protecting our most vulnerable people,TRUE,NA,FALSE,FALSE,Adults who contacted adult social care this year who were not previously receiving services-rate,"Rate per 100,000",3595,Coventry,2015/16,2484,Coventry,Apr-Sep 2016,5035,CIPFA,2015/16,4200,England,2015/16,N/A,N/A,N/A,N/A
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,FALSE,Adults who contacted adult social care this year who were not previously receiving services-number,number,9296,Coventry,2015/16,3358,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9000-10000,N/A
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,FALSE,FALSE,Carbon dioxide emissions from local authority operations,tonnes,17986,Coventry,2014/15,16368,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,N/A,No target set
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,FALSE,FALSE,"Core employee headcount (full-time equivalents, fte)",full-time equivalents,4242.05,Coventry,Mar-16,4163.65,Coventry,Sep-16,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,N/A,No target set
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,TRUE,FALSE,Council staff sickness absence,days per full-time equivalent,8.51,Coventry,2015/16,3.74,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,8,On-target
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,FALSE,FALSE,Coventry Investment Fund allocation,millions of pounds,0.1,Coventry,2015/16,3.5,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,14.6,Off-target
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,FALSE,FALSE,External funding attracted,millions of pounds,46.8,Coventry,2015/16,17.8,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,17.8,On-target
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,FALSE,FALSE,Transactions done online,%,20,Coventry,2015/16,28,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,35,On-target
Delivering our priorities with fewer resources,Making the most of our assets,TRUE,BETTER,FALSE,FALSE,Reduction in face to face and telephone contact,%,24,Coventry,2015/16,25,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,30,Off-target
Globally connected,Helping local people into jobs,FALSE, ,TRUE,TRUE,"Young people supported by coaches into employment, education or training",number,N/A,N/A,N/A,172,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,232,On-target
Globally connected,Helping local people into jobs,FALSE, ,TRUE,TRUE,Young people with disabilities or health problems accessing coaches,number,N/A,N/A,N/A,87,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,93,On-target
Locally committed,Reducing health inequalities,FALSE, ,FALSE,FALSE,Residents who are fairly/very satisfied with their local area,%,89,Coventry,2013,88,Coventry,2016,N/A,N/A,N/A,82,LGA Benchmark,2015,High is good,N/A,N/A,N/A
Delivering our priorities with fewer resources,Active communities & empowered citizens,FALSE, ,FALSE,FALSE,Residents who trust the Council a fair amount/a great deal,%,N/A,N/A,N/A,69,Coventry,2016,N/A,N/A,N/A,58,LGA Benchmark,2015,High is good,N/A,N/A,N/A
Delivering our priorities with fewer resources,Active communities & empowered citizens,FALSE, ,FALSE,FALSE,Residents who are fairly/very satisfied with the Council,%,N/A,N/A,N/A,61,Coventry,2016,N/A,N/A,N/A,67,LGA Benchmark,2015,High is good,N/A,N/A,N/A
Globally connected,Helping local people into jobs,FALSE, ,TRUE,FALSE,Female resident employment rate,%,57.8,Coventry,Jan-Dec 2015,59.6,Coventry,Jul 15-Jun 16,64.7,WMR,Jul 15-Jun 16,69,England,Jul 15-Jun 16,High is good,Right direction,N/A,No target set
Globally connected,Helping local people into jobs,FALSE, ,TRUE,FALSE,Male resident employment rate,%,70.5,Coventry,Jan-Dec 2015,72.7,Coventry,Jul 15-Jun 16,76.6,WMR,Jul 15-Jun 16,79.2,England,Jul 15-Jun 16,High is good,Right direction,N/A,No target set
Globally connected,Helping local people into jobs,FALSE, ,TRUE,FALSE,Gender pay gap (full-time median hourly pay),%,14.9,Coventry,2015,14.8,Coventry,2016,11.6,WMR,2016,10.2,England,2016,Low is good,Right direction,N/A,No target set
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Hate crime reporting centres,number,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...disability (disability hate crime),number,27,Coventry,2015/16,9,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...race/ethnicity (racist incidents),number,428,Coventry,2015/16,271,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...sex/gender or transgender (gender identity/reassignment),number,<5,Coventry,2015/16,<5,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...sexual orientation (homophobia),number,45,Coventry,2015/16,20,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...religion or belief,number,23,Coventry,2015/16,9,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...gypsy/traveller,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Reported offences (including crime/non-crime/reporting centre incidents) motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of...not stated,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Black African ",%,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Black Caribbean ",%,N/A,N/A,N/A,30,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Black Other ",%,N/A,N/A,N/A,60,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Asian Indian",%,N/A,N/A,N/A,58,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Asian Pakitani",%,N/A,N/A,N/A,50,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Asian Bangladeshi",%,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Asian Chinese",%,N/A,N/A,N/A,56,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... White",%,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
