Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2020-21 end of year indicator value,2020-21 end of year indicator scope,2020-21 end of year indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2020-21 end of year  comparator indicator scope,2020-21 end of year comparator indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,2020-21 end of year national indicator value,2020-21 end of year national indicator scope,2020-21 end of year national indicator date,Target Status,Coventry2030,,,,,
11,Globally connected,Helping local people into jobs,BETTER,TRUE,"16-17 year olds not in education, employment or training (NEET) including not knowns",%,8.2,Coventry,End 2015,N/A,N/A,N/A,N/A,N/A,N/A,6.8,Coventry,2017,5,Coventry,Mar-18,5.4,Coventry ,2018,5.4,Coventry ,2019,5,Coventry ,2020,N/A,N/A,N/A,7.3,WMCA,2017,5.4,WMR,Mar-18,6.4,WMR,2018,5.3,WMR,2019,5.3,WMR,2020,N/A,N/A,N/A,6,England,2017,5.6,England,Mar-18,6,England,2018,5.5,England,2019,5.5,England,2020,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
12,Globally connected,Helping local people into jobs,,FALSE,"16-17 year olds not in education, employment or training (NEET) excluding not knowns",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1,Coventry,2017,3.5,Coventry,Mar-18,3.5,Coventry ,2018,3.3,Coventry ,2019,3,Coventry ,2020,N/A,N/A,N/A,2.7,WMCA,2017,2.5,WMR,Mar-18,2.4,WMR,2018,2.4,WMR,2019,2.3,WMR,2020,N/A,N/A,N/A,2.8,England,2017,2.8,England,Mar-18,2.7,England,2018,2.6,England,2019,2.7,England,2020, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
13,Globally connected,Helping local people into jobs,,FALSE,"16-17 year olds not in education, employment or training (NEET) status not known",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,Coventry,2017,1.5,Coventry,Mar-18,1.9,Coventry ,2018,2.1,Coventry ,2019,2,Coventry ,2020,N/A,N/A,N/A,4.6,WMCA,2017,2.9,WMR,Mar-18,4,WMR,2018,3,WMR,2019,3,WMR,2020,N/A,N/A,N/A,3.2,England,2017,2.8,England,Mar-18,3.3,England,2018,2.9,England,2019,2.8,England,2020, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
14,Globally connected,Helping local people into jobs,BETTER,TRUE,Residents qualified to NVQ level 4+,%,30,Coventry,"Jan-Dec
2015",N/A,N/A,N/A,34,Coventry,Jan-Dec 2016,N/A,N/A,N/A,35,Coventry,Jan-Dec 2017 ,35,Coventry ,Jan-Dec 2018,36,Coventry ,Jan-Dec 2019,38,Coventry ,Jan-Dec 2020,32,WMR,Jan-Dec 2016,N/A,N/A,N/A,32,WMR,Jan-Dec 2017 ,33,WMR,Jan-Dec 2018,34,WMR,Jan-Dec 2019,37,WMR,Jan-Dec 2020,38,England,Jan-Dec 2016,N/A,N/A,N/A,38,England,Jan-Dec 2017,39,England,Jan-Dec 2018,40,England,Jan-Dec 2019,43,England,Jan-Dec 2020,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
15,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Median annual pay (full-time employees) of residents,pounds,26913,Coventry,2015 revised,N/A,N/A,N/A,27969,Coventry,2016 revised,N/A,N/A,N/A,28412,Coventry,2017 revised,28746,Coventry ,2018,28747,Coventry ,2019 revised,29102,Coventry ,2020 provisional,26270,WMR,2016 revised,N/A,N/A,N/A,26843,WMR,2017 revised,27600,WMR,2018 revised,28278,WMR,2019 revised,29481,WMR,2020 provisional,28500,England,2016 revised,N/A,N/A,N/A,29085,England,2017 revised,29849,England,2018 revised,30692,England,2019 revised,31766,England,2020 provisional,No Target Set,Economic Prosperity of the City and of the Region,,,,,
16,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Median annual pay (all employee types) of residents,pounds,21905,Coventry,2015 revised,N/A,N/A,N/A,22116,Coventry,2016 revised,N/A,N/A,N/A,23021,Coventry,2017 revised,24296,Coventry ,2018 revised,24020,Coventry ,2019 revised,24537,Coventry ,2020 provisional,21789,WMCA,2016 revised,N/A,N/A,N/A,22265,WMR,2017 revised,22731,WMR,2018 revised,23632,WMR,2019 revised,24634,WMR,2020 provisional,23337,England,2016 revised,N/A,N/A,N/A,23754,England,2017 revised,24283,England,2018 revised,25150,England,2019 revised,26055,England,2020 provisional,No Target Set,Economic Prosperity of the City and of the Region,,,,,
17,Globally connected,Reducing the impact of poverty,N/A,TRUE,Gross disposable household income per head,pounds,13924,Coventry,2014 revised,N/A,N/A,N/A,14226,Coventry,2015 revised,N/A,N/A,N/A,14351,Coventry,2016 revised,14987,Coventry ,2017 revised,15353,Coventry ,2018 provisional,N/A,N/A,N/A,16619,WMR,2015 revised,N/A,N/A,N/A,16766,WMR,2016 provisional,17409,WMR,2017 revised,18222,WMR,2018 provisional,N/A,N/A,N/A,19759,England,2015revised,N/A,N/A,N/A,19878,England,2016 provisional,20658,England,2017 revised,21609,England,2018 provisional,N/A,N/A,N/A,No Target Set,Economic Prosperity of the City and of the Region,,,,,
18,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Change in Council tax base (change from 2009 base),number,105.45,Coventry,2015/16 revised,105.45,Coventry,2015/16 revised,106.67,Coventry,2016/17,N/A,N/A,N/A,107.37,Coventry,2017/18,108.83,Coventry ,2018/19,109.15,Coventry ,2019/20,110.28,Coventry ,2020/21,105.84,WMCA,2016/17,N/A,N/A,N/A,106.59,WMCA,2017/18,107.08,WMCA,2018/19,107.76,WMCA,2019/20,108.36,WMCA,2020/21,107.75,England,2016/17,N/A,N/A,N/A,108.76,England,2017/18,109.73,England,2018/19,110.92,England,2019/20,111.94,England,2020/21,No Target Set,Economic Prosperity of the City and of the Region,,,,,
19,Globally connected,"Supply, choice and quality of housing",,FALSE,Council tax collectable value,millions of pounds,120.21,Coventry,31-Mar-16,132.14,Coventry,Sep-16,130.48,Coventry,31-Mar-17,140.71,Coventry,Sep-17,132,Coventry,31/03/2018 revised,149,Coventry ,31/03/2019 provisional,157.7,Coventry ,31/03/2020,162.4,Coventry ,31/03/2021 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Economic Prosperity of the City and of the Region,,,,,
20,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Council tax number of properties,number,139179,Coventry,31-Mar-16,140171,Coventry,Sep-16,140507,Coventry,31-Mar-17,140944,Coventry,Sep-17,142016,Coventry,31-Mar-18,143552,Coventry ,31-Mar-19,146882,Coventry ,31-Mar-20,148002,Coventry ,31/03/2021 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,Economic Prosperity of the City and of the Region,,,,,
21,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Properties in higher Council Tax bands (C to H) (%),%,29.2,Coventry,31-Mar-16,29.36,Coventry,Sep-16,29.44,Coventry,31-Mar-17,29.51,Coventry,Sep-17,29.48,Coventry,31-Mar-18,29.44,Coventry ,31-Mar-19,29.54,Coventry ,31-Mar-20,29.58,Coventry ,31/03/2021,35.23,WMM,31-Mar-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.74,England,31-Mar-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.2,England,31-Mar-20,No Target Set,Economic Prosperity of the City and of the Region,,,,,
22,Globally connected,"Supply, choice and quality of housing",,FALSE,Properties in higher Council Tax bands (C to H) (number),number,40639,Coventry,31-Mar-16,41158,Coventry,Sep-16,41370,Coventry,Mar-17,41589,Coventry,Sep-17,41864,Coventry,31-Mar-18,42259,Coventry ,31-Mar-19,43391,Coventry ,31-Mar-20,43772,Coventry ,31/03/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Economic Prosperity of the City and of the Region,,,,,
23,Globally connected,"Supply, choice and quality of housing",WORSE,TRUE,Council tax collection rate,%,95.8,Coventry,2015/16,95.9,Coventry,Apr-Sep 2016/17,95.8,Coventry,2016/17,96,Coventry,Apr-Sep 2017/18,95.9,Coventry,2017/18,95.7,Coventry ,2018/19,95.5,Coventry ,2019/20,94.4,Coventry ,2020/21,95.4,Mets ,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,96,WMCA,2018/19,95.8,WMCA,2019/20,94.7,WMCA,2020/21,97.4,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,97,England,2018/19,96.8,England,2019/20,95.7,England,2020/21,Off-target,Economic Prosperity of the City and of the Region,,,,,
24,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Principal roads (A roads) in a good/acceptable condition,%,99,Coventry,2015/16,N/A,N/A,N/A,99,Coventry,2016/17,N/A,N/A,N/A,99,Coventry,2017/18,99,Coventry ,2018/19,98,Coventry ,2019/20,99,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
25,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Non-principal roads (B and C roads) in a good/acceptable condition,%,98,Coventry,2015/16,N/A,N/A,N/A,98,Coventry,2016/17,N/A,N/A,N/A,98,Coventry,2017/18,98,Coventry ,2018/19,96,Coventry ,2019/20,98,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
26,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Unclassified roads in a good/acceptable condition,%,80,Coventry,2015/16,N/A,N/A,N/A,80,Coventry,2016/17,N/A,N/A,N/A,80,Coventry,2017/18,82,Coventry ,2018/19,81,Coventry ,2019/20,81,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
27,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Footways and pavements in a good/acceptable condition,%,36,Coventry,2015/16,N/A,N/A,N/A,36,Coventry,N/A,N/A,N/A,N/A,36,Coventry,2017/18,38,Coventry ,2018/19,38,Coventry ,2019/20,50,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
28,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Fly-tips reported in the city,number,2316,Coventry,2015/16,1505,Coventry,Apr-Sep 2016/17,3342,Coventry, 2016/17,2030,Coventry,Apr-Sep 2017/18,4704,Coventry,2017/18,6922,Coventry ,2018/19,6955,Coventry ,2019/20,10727,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
29,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Household waste recycled and composted,%,30.3,Coventry,2015/16,34.2,Coventry,Jul-Sep 2016/17,29.9,Coventry, 2016/17,35.5,Coventry,Apr-Sep 2017/18,32.9,Coventry,2017/18,34.1,Coventry ,2018/19 revised,33.4,Coventry ,2019/20 ,34,Coventry ,2020/21 provisional,36.9,WMCA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,36.1,WMCA,2017/18,34.7,WMCA,2018/19,34.8,WMCA,2019/20,43.7,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,43.2,England,2017/18,43.5,England,2018/19,43.8,England,2019/20,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
30,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Cleanliness levels- Grade A,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,Coventry,2017/18,2,Coventry ,2018/19,3,Coventry ,2019/20,0,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
31,Locally committed,"Create an attractive, cleaner & greener city",EQUALS,TRUE,Cleanliness levels- Grade B,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,Coventry,2017/18,94,Coventry ,2018/19,95,Coventry ,2019/20,95,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
32,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Cleanliness levels- Grade C,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Coventry,2017/18,4,Coventry ,2018/19,2,Coventry ,2019/20,4,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
33,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Cleanliness levels- Grade D,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Coventry,2017/18,0,Coventry ,2018/19,0,Coventry ,2019/20,1,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
34,Locally committed,Make communities safer,WORSE,TRUE,"Crime (rate per 1,000 population)","rate per 1,000 population",61.5,Coventry,2015/16 refreshed,64.5,Coventry,Apr-Sep 2016/17 annualised,66.3,Coventry, 2016/17,28.61,Coventry,Apr-Sep 2017/18,71.3,Coventry,2017/18,76.5,Coventry ,Jan 2019 rolling year revised,77,Coventry ,2019/20 revised,84.3,Coventry ,2020/21,74.1,Wolverhampton,2016/17,34.56,Wolverhampton,Apr-Sep 2017/18,83.1,Wolverhampton,2017/18,97.4,Wolverhampton,Jan 2019 rolling year,95,Wolverhampton,Jan 2020 rolling year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
