Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,Directionality,Progress,Target,Target Status, 
16,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Median annual pay (all employee types) of residents,pounds,21905,Coventry,2015 revised,N/A,N/A,N/A,22116,Coventry,2016 revised,N/A,N/A,N/A,23021,Coventry,2017 revised,24291,Coventry ,2018 provisional,21794,WMCA,2016 provisional,21789,WMCA,2016 revised,N/A,N/A,N/A,22265,WMR,2017 revised,22753,WMR,2018 provisional,N/A,N/A,N/A,23337,England,2016 revised,N/A,N/A,N/A,23754,England,2017 revised,24298,England,2018 provisional,High is good,Right direction,To increase,No Target Set, 
17,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Gross disposable household income per head,pounds,13924,Coventry,2014 revised,N/A,N/A,N/A,14226,Coventry,2015 revised,N/A,N/A,N/A,14351,Coventry,2016 revised,14455,Coventry ,2017 provisional,N/A,N/A,N/A,16619,WMR,2015 revised,N/A,N/A,N/A,16766,WMR,2016 provisional,16885,WMR,2017 provisional,N/A,N/A,N/A,19759,England,2015revised,N/A,N/A,N/A,19878,England,2016 provisional,19988,England,2017 provisional,High is good,Right direction,To increase,No Target Set, 
18,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Change in Council tax base (change from 2009 base),number,105.45,Coventry,2015/16 revised,105.45,Coventry,2015/16 revised,106.67,Coventry,2016/17,N/A,N/A,N/A,107.37,Coventry,2017/18,108.83,Coventry ,2018/19,104.99,WMCA,2015/16,105.84,WMCA,2016/17,N/A,N/A,N/A,106.59,WMCA,2017/18,107.08,WMCA,2018/19,106.65,England,2015/16 revised,107.75,England,2016/17,N/A,N/A,N/A,108.76,England,2017/18,109.73,England,2018/19,High is good,Right direction,To increase,No Target Set, 
19,Globally connected,"Supply, choice and quality of housing",,FALSE,Council tax collectable value,millions of pounds,120.21,Coventry,31-Mar-16,132.14,Coventry,Sep-16,130.48,Coventry,31-Mar-17,140.71,Coventry,Sep-17,132,Coventry,31/03/2018 revised,149,Coventry ,31/03/2019 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
20,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Council tax number of properties,number,139179,Coventry,31-Mar-16,140171,Coventry,Sep-16,140507,Coventry,31-Mar-17,140944,Coventry,Sep-17,142016,Coventry,31-Mar-18,143552,Coventry ,31-Mar-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,To increase,No Target Set, 
21,Globally connected,"Supply, choice and quality of housing",WORSE,TRUE,Properties in higher Council Tax bands (C to H) (%),%,29.2,Coventry,31-Mar-16,29.36,Coventry,Sep-16,29.44,Coventry,31-Mar-17,29.51,Coventry,Sep-17,29.48,Coventry,31-Mar-18,29.44,Coventry ,31-Mar-19,N/A,N/A,N/A,35.23,WMM,31-Mar-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.74,England,31-Mar-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Wrong direction,N/A,No Target Set, 
22,Globally connected,"Supply, choice and quality of housing",,FALSE,Properties in higher Council Tax bands (C to H) (number),number,40639,Coventry,31-Mar-16,41158,Coventry,Sep-16,41370,Coventry,Mar-17,41589,Coventry,Sep-17,41864,Coventry,31-Mar-18,42259,Coventry ,31-Mar-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
23,Globally connected,"Supply, choice and quality of housing",WORSE,TRUE,Council tax collection rate,%,95.8,Coventry,2015/16,95.9,Coventry,Apr-Sep 2016/17,95.8,Coventry,2016/17,96.0,Coventry,Apr-Sep 2017/18,95.9,Coventry,2017/18,95.7,Coventry ,2018/19,N/A,N/A,N/A,95.4,Mets ,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,95.5,Mets,2017/18,N/A,N/A,N/A,97.4,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,97.1,England,2017/18,High is good,Wrong direction,96%,Off-target, 
24,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Principal roads (A roads) in a good/acceptable condition,%,99,Coventry,2015/16,N/A,N/A,N/A,99,Coventry,2016/17,N/A,N/A,N/A,99,Coventry,2017/18,99,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,95%,On-target, 
25,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Non-principal roads (B and C roads) in a good/acceptable condition,%,98,Coventry,2015/16,N/A,N/A,N/A,98,Coventry,2016/17,N/A,N/A,N/A,98,Coventry,2017/18,98,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,95%,On-target, 
26,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Unclassified roads in a good/acceptable condition,%,80,Coventry,2015/16,N/A,N/A,N/A,80,Coventry,2016/17,N/A,N/A,N/A,80,Coventry,2017/18,82,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,80%,On-target, 
27,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Footways and pavements in a good/acceptable condition,%,36,Coventry,2015/16,N/A,N/A,N/A,36,Coventry,N/A,N/A,N/A,N/A,36,Coventry,2017/18,38,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,38%,On-target, 
28,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Fly-tips reported in the city,number,2316,Coventry,2015/16,1505,Coventry,Apr-Sep 2016/17,3342,Coventry, 2016/17,2030,Coventry,Apr-Sep 2017/18,4704,Coventry,2017/18,6922,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,<= 5500,Off-target, 
29,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Household waste recycled and composted,%,30.3,Coventry,2015/16,34.2,Coventry,Jul-Sep 2016/17,29.9,Coventry, 2016/17,35.5,Coventry,Apr-Sep 2017/18,32.9,Coventry,2017/18,34.9,Coventry ,2018/19 provisional,N/A,N/A,N/A,36.9,WMCA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,36.1,WMCA,2017/18,N/A,N/A,N/A,43.7,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,43.2,England,2017/18,High is good,Right direction,To increase,Off-target, 
30,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Cleanliness levels- Grade A,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,Coventry,2017/18,2,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Wrong direction,10%,Off-target, 
31,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Cleanliness levels- Grade B,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,Coventry,2017/18,94,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,90%,On-target, 
32,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Cleanliness levels- Grade C,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Coventry,2017/18,4,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,0%,Off-target, 
33,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Cleanliness levels- Grade D,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Coventry,2017/18,0,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,0%,On-target, 
34,Locally committed,Make communities safer,WORSE,TRUE,"Crime (rate per 1,000 population)","rate per 1,000 population",61.5,Coventry,2015/16 refreshed,64.5,Coventry,Apr-Sep 2016/17 annualised,66.3,Coventry, 2016/17,28.61,Coventry,Apr-Sep 2017/18,71.3,Coventry,2017/18,77.9,Coventry ,Jan 2019 rolling year,N/A,N/A,N/A,74.1,Wolverhampton,2016/17,34.56,Wolverhampton,Apr-Sep 2017/18,83.1,Wolverhampton,2017/18,97.4,Wolverhampton,Jan 2019 rolling year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,To decrease,No Target Set, 
35,Locally committed,Make communities safer,,FALSE,Crime (number of crimes),number,21229,Coventry,2015/16 refreshed,11153,Coventry,Apr-Sep 2016/17,23019,Coventry,2016/17 revised,12164,Coventry,Apr-Sep 2017/18,25687,Coventry,2017/18,"28,056",Coventry ,Jan 2019 rolling year,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good, , , , 
36,Locally committed,Make communities safer,CANT SAY,TRUE,Drug offences and drug markers recorded,number,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,425/736,Coventry,2017/18,1,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable, 
37,Locally committed,Make communities safer,BETTER,TRUE,First time entrants to youth justice system,"rate per 100,0000 population 10-17",399,Coventry,2015/16,415,Coventry,Oct 15-Sep 16 Local Data,432,Coventry,2016/17,334,Coventry,Oct 2016-Sep 2017,311,Coventry,2017/18,235,Coventry ,2018/19,N/A,N/A,N/A,422,Family Group Average,2015/16,428,Family Group Average,2016/17,N/A,N/A,N/A,315,Family Group Average,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,318,England,2016/17,N/A,N/A,N/A,302,England,2017/18,Low is good,Right direction,To decrease,No Target Set, 
38,Locally committed,Make communities safer,CANT SAY,TRUE,Domestic violence offences known to the police,number,5972,Coventry,2015/16,3178,Coventry,Apr-Sep 2016/17,5771,Coventry,2016/17,2990,Coventry,Apr-Sep 2017/18,5812,Coventry,2017/18,6719,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable, 
39,Locally committed,Make communities safer,WORSE,TRUE,Repeat victims of domestic violence reported,%,9.5,Coventry,2015/16,4.1,Coventry,Apr-Sep 2016/17,11.1,Coventry,2016/17 Revised,11.4,Coventry,Oct 2016 - Sep 2017,11.3,Coventry,2017/18,11.5,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,To decrease,No Target Set, 
40,Locally committed,Improving educational outcomes,BETTER,TRUE,Pupils attending a good/outstanding primary school,%,84.8,Coventry,2015,N/A,N/A,N/A,92.0,Coventry,Aug-16,94,Coventry,March 2017,95,Coventry,March 2018,95,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,Statistical Neighbours,March 2018,85,Statistical Neighbours,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,90,England,Oct-17,90,England,March 2018,87,England,March 2019,High is good,Right direction,National average,On-target, 
41,Locally committed,Improving educational outcomes,BETTER,TRUE,Pupils attending a good/outstanding secondary school,%,56.6,Coventry,2015,N/A,N/A,N/A,67.9,Coventry,2016,75,Coventry,March 2017,74,Coventry,March 2018,80,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,Statistical Neighbours,March 2018,76,Statistical Neighbours,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,83,England,Oct-17,83,England,March 2018,80,England,March 2019,High is good,Right direction,National average,On-target, 
42,Locally committed,Improving educational outcomes,BETTER,TRUE,Pupils attending a good/outstanding special school,%,81,Coventry,March 2016,N/A,N/A,N/A,100,Coventry,March 2017,N/A,N/A,N/A,100,Coventry,March 2018,100,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,Statistical Neighbours,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,England,March 2019,High is good,Right direction,Less than or equal to National average,On-target, 
43,Locally committed,Improving educational outcomes,BETTER,TRUE,Primary school pupils with permanent exclusions,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11,Coventry,March 2018,0.03,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,Statistical Neighbours,March 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,England,2016/17,Low is good,Right direction,Less than or equal to National average,On-target, 
44,Locally committed,Improving educational outcomes,BETTER,TRUE,Secondary school pupils with permanent exclusions,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,Coventry,March 2018,0.06,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23,Statistical Neighbours,March 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,England,2016/17,Low is good,Right direction,Less than or equal to National average,On-target, 
