Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year indicator comparator indicator scope,2017/18 end of year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,Directionality,Progress,Target,Target Status,LGInformPlus Metric ID,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Globally connected,Helping local people into jobs,BETTER,TRUE,"16-17 year olds not in education, employment or training (NEET) including not knowns",%,8.2,Coventry,End 2015,N/A,N/A,N/A,N/A,N/A,N/A,6.8,Coventry,End 2016,5.0,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,7.3,WMCA,End 2016,5.4,WMR,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,6.0,England,End 2016,5.6,England,Mar-18,Low is good,Right direction,Less than national average,On-target,9612,,,,,,,,,,,,,,,,,,,,,,,,,,
,Globally connected,Helping local people into jobs,,FALSE,"16-17 year olds not in education, employment or training (NEET) excluding not knowns",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1,Coventry,End 2016,3.5,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,2.7,WMCA,End 2016,2.5,WMR,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,2.8,England,End 2016,2.8,England,Mar-18,Low is good,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
,Globally connected,Helping local people into jobs,,FALSE,"16-17 year olds not in education, employment or training (NEET) status not known",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,Coventry,End 2016,1.5,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,4.6,WMCA,End 2016,2.9,WMR,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,3.2,England,End 2016,2.8,England,Mar-18,Low is good,,,,9614,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Globally connected,Helping local people into jobs,EQUALS,TRUE,Residents qualified to NVQ level 4+,%,30,Coventry,"Jan-Dec
2015",N/A,N/A,N/A,34,Coventry,Jan-Dec 2016,N/A,N/A,N/A,35,Coventry,Jan-Dec 2017 ,N/A,N/A,N/A,32,WMR,Jan-Dec 2016,N/A,N/A,N/A,32,WMR,Jan-Dec 2017 ,N/A,N/A,N/A,38,England,Jan-Dec 2016,N/A,N/A,N/A,38,England,Jan-Dec 2017,High is good,Similar/unchanged,N/A,No Target Set,37,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Median annual pay (full-time employees) of residents,pounds,26913,Coventry,2015 revised,N/A,N/A,N/A,27969,Coventry,2016 revised,N/A,N/A,N/A,28432,Coventry,2017 provisional,N/A,N/A,N/A,26270,WMR,2016 revised,N/A,N/A,N/A,26857,WMR,2017 provisional,N/A,N/A,N/A,28500,England,2016 revised,N/A,N/A,N/A,29085,England,2017 provisional ,High is good,Right direction,N/A,No Target Set,3475,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Globally connected,Reducing the impact of poverty,BETTER,TRUE,Median annual pay (all employee types) of residents,pounds,21905,Coventry,2015 revised,N/A,N/A,N/A,22116,Coventry,2016 revised,N/A,N/A,N/A,23055,Coventry,2017 provisional,21794,WMCA,2016 provisional,21789,WMCA,2016 revised,N/A,N/A,N/A,22259,WMR,2017 provisional,N/A,N/A,N/A,23337,England,2016 revised,N/A,N/A,N/A,23743,England,2017 provisional ,High is good,Right direction,N/A,No Target Set,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Globally connected,Reducing the impact of poverty,WORSE,TRUE,Gross disposable household income per head,pounds,13924,Coventry,2014 revised,N/A,N/A,N/A,14226,Coventry,2015 revised,N/A,N/A,N/A,14175,Coventry,2016 provisional,N/A,N/A,N/A,16619,WMR,2015 revised,N/A,N/A,N/A,16766,WMR,2016 provisional,N/A,N/A,N/A,19759,England,2015revised,N/A,N/A,N/A,19878,England,2016 provisional,High is good,Wrong direction,N/A,No Target Set,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Globally connected,"Supply, choice and quality of housing",EQUALS,TRUE,Change in Council tax base (change from 2009 base),number,105.45,Coventry,2015/16 revised,105.45,Coventry,2015/16 revised,106.67,Coventry,2016/17,N/A,N/A,N/A,107.37,Coventry,2017/18,104.99,WMCA,2015/16,105.84,WMCA,2016/17,N/A,N/A,N/A,106.59,WMCA,2017/18,106.65,England,2015/16 revised,107.75,England,2016/17,N/A,N/A,N/A,108.76,England,2017/18,High is good,Right direction,N/A,No Target Set,4274,,,,,,,,,,,,,,,,,,,,,,,,,,
,Globally connected,"Supply, choice and quality of housing",,FALSE,Council tax collectable value,millions of pounds,120.21,Coventry,31-Mar-16,132.14,Coventry,Sep-16,130.48,Coventry,31-Mar-17,140.71,Coventry,Sep-17,139.03,Coventry,31-Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Council tax number of properties,number,139179,Coventry,31-Mar-16,140171,Coventry,Sep-16,140507,Coventry,31-Mar-17,140944,Coventry,Sep-17,142016,Coventry,31-Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,N/A,No Target Set,3540,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Properties in higher Council Tax bands (C to H) (%),%,29.2,Coventry,31-Mar-16,29.36,Coventry,Sep-16,29.44,Coventry,31-Mar-17,29.51,Coventry,Sep-17,29.48,Coventry,31-Mar-18,N/A,N/A,N/A,35.23,WMM,31-Mar-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.74,England,31-Mar-15,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,N/A,No Target Set,"calculated from 3534, 3535, 3536, 3537, 3538, 3539",,,,,,,,,,,,,,,,,,,,,,,,,,
,Globally connected,"Supply, choice and quality of housing",,FALSE,Properties in higher Council Tax bands (C to H) (number),number,40639,Coventry,31-Mar-16,41158,Coventry,Sep-16,41370,Coventry,Mar-17,41589,Coventry,Sep-17,41864,Coventry,31-Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,"calculated from 3534, 3535, 3536, 3537, 3538, 3539",,,,,,,,,,,,,,,,,,,,,,,,,,
17,Globally connected,"Supply, choice and quality of housing",BETTER,TRUE,Council tax collection rate,%,95.8,Coventry,2015/16,95.9,Coventry,Apr-Sep 2016/17,95.8,Coventry,2016/17,96.0,Coventry,Apr-Sep 2017/18,95.9,Coventry,2017/18,N/A,N/A,N/A,95.4,Mets ,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.4,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,96%,Off-target,200,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Locally committed,"Create an attractive, cleaner & greener city",EQUALS,TRUE,Principal roads (A roads) in a good/acceptable condition,%,99,Coventry,2015/16,N/A,N/A,N/A,99,Coventry,2016/17,N/A,N/A,N/A,99,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Similar/unchanged,95%,On-target,related to 39,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Locally committed,"Create an attractive, cleaner & greener city",EQUALS,TRUE,Non-principal roads (B and C roads) in a good/acceptable condition,%,98,Coventry,2015/16,N/A,N/A,N/A,98,Coventry,2016/17,N/A,N/A,N/A,98,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Similar/unchanged,95%,On-target,related to 40,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Locally committed,"Create an attractive, cleaner & greener city",EQUALS,TRUE,Unclassified roads in a good/acceptable condition,%,80,Coventry,2015/16,N/A,N/A,N/A,80,Coventry,2016/17,N/A,N/A,N/A,80,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Similar/unchanged,80%,On-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Locally committed,"Create an attractive, cleaner & greener city",EQUALS,TRUE,Footways and pavements in a good/acceptable condition,%,36,Coventry,2015/16,N/A,N/A,N/A,36,Coventry,N/A,N/A,N/A,N/A,36,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Similar/unchanged,38%,Off-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Locally committed,"Create an attractive, cleaner & greener city",WORSE,TRUE,Fly-tips reported in the city,number,2316,Coventry,2015/16,1505,Coventry,Apr-Sep 2016/17,3342,Coventry, 2016/17,2030,Coventry,Apr-Sep 2017/18,4704,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,< 3500,Off-target,6623,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Locally committed,"Create an attractive, cleaner & greener city",BETTER,TRUE,Household waste recycled and composted,%,30.3,Coventry,2015/16,34.2,Coventry,Jul-Sep 2016/17,29.9,Coventry, 2016/17,35.5,Coventry,Apr-Sep 2017/18,32.9,Coventry,2017/18,N/A,N/A,N/A,36.9,WMCA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.7,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,50%+ by 2020,Off-target,10414,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Locally committed,Make communities safer,WORSE,TRUE,"Crime (rate per 1,000 population)","rate per 1,000 population",61.5,Coventry,2015/16 refreshed,64.5,Coventry,Apr-Sep 2016/17annualised,66.3,Coventry, 2016/17,28.61,Coventry,Apr-Sep 2017/18,71.3,Coventry,2017/18,N/A,N/A,N/A,74.1,Wolverhampton,2016/17,34.56,Wolverhampton,Apr-Sep 2017/18,83.1,Wolverhampton,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,N/A,No Target Set,1070,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Crime (number of crimes),number,21229,Coventry,2015/16 refreshed,11153,Coventry,Apr-Sep 2016/17,23019,Coventry,2016/17 revised,12164,Coventry,Apr-Sep 2017/18,25687,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,,,,1068,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Locally committed,Make communities safer,BETTER,TRUE,First time entrants to youth justice system,"rate per 100,0000 population 10-17",399,Coventry,2015/16,415,Coventry,"Oct 15-Sep 16
Local Data",432,Coventry,2016/17,334,Coventry,Oct 2016-Sep 2017,311,Coventry,2017/18,N/A,N/A,N/A,422,Family Group Average,2015/16,428,Family Group Average,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,318,England,2016/17,N/A,N/A,N/A,Low is good,Right direction,N/A,No Target Set,123,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Locally committed,Make communities safer,CANT SAY,TRUE,Domestic violence offences known to the police,number,5972,Coventry,2015/16,3178,Coventry,Apr-Sep 2016/17,5771,Coventry,2016/17,2990,Coventry,Apr-Sep 2017/18,5812,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Locally committed,Make communities safer,WORSE,TRUE,Repeat victims of domestic violence reported,%,9.5,Coventry,2015/16,4.1,Coventry,Apr-Sep 2016/17,11.1,Coventry,2016/17 Revised,11.4,Coventry,Oct 2016 - Sep 2017,11.3,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,N/A,No Target Set,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Locally committed,Improving educational outcomes,BETTER,TRUE,Pupils attending a good/outstanding primary school,%,84.8,Coventry,2015,N/A,N/A,N/A,92.0,Coventry,Aug-16,94,Coventry,Mar-17,95,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,87,Statistical Neighbours,Oct-17,86,Statistical Neighbours,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,90,England,Oct-17,90,England,Mar-18,High is good,Right direction,National average,On-target,919,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Locally committed,Improving educational outcomes,WORSE,TRUE,Pupils attending a good/outstanding secondary school,%,56.6,Coventry,2015,N/A,N/A,N/A,67.9,Coventry,2016,75,Coventry,Mar-17,74,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,77,Statistical Neighbours,Oct-17,76,Statistical Neighbours,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,83,England,Oct-17,83,England,Mar-18,High is good,Wrong direction,National average,Off-target,924,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Locally committed,Improving educational outcomes,BETTER,TRUE,"Key stage 2 expected standard in reading, writing & maths",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,"2016
",N/A,N/A,N/A,58,Coventry,2017,N/A,N/A,N/A,50,Statistical Neighbours,"2016
",N/A,N/A,N/A,57,Statistical Neighbours,2017,N/A,N/A,N/A,53,England,"2016
",N/A,N/A,N/A,61,England,2017,High is good,Right direction,Equal to or better than statistical neighbours,On-target,6080,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Locally committed,Improving educational outcomes,WORSE,TRUE,Key stage 4: attainment 8,average score,46.2,Coventry,2015 revised,N/A,N/A,N/A,48.1,Coventry,"2016
",N/A,N/A,N/A,42.8,Coventry,2017,N/A,N/A,N/A,47.9,Statistical Neighbours,"2016
",N/A,N/A,N/A,43.8,Statistical Neighbours,2017,N/A,N/A,N/A,49.9,England,"2016
",N/A,N/A,N/A,46.3,England,2017,High is good,Wrong direction,Equal to or better than statistical neighbours,Off-target,6014,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Locally committed,Improving educational outcomes,WORSE,TRUE,Key stage 4: progress 8,relative difference,0.03,Coventry,2015,N/A,N/A,N/A,-0.05,Coventry,"2016
",N/A,N/A,N/A,-0.12,Coventry,2017,N/A,N/A,N/A,-0.11,Statistical Neighbours,"2016
",N/A,N/A,N/A,-0.09,Statistical Neighbours,2017,N/A,N/A,N/A,-0.03,England,"2016
",N/A,N/A,N/A,-0.03,England,2017,High is good,Wrong direction,Equal to or better than statistical neighbours,Off-target,6016,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Locally committed,Improving educational outcomes,WORSE,TRUE,Key stage 4: standard pass (grades 9-4) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,61,Coventry,"2016
",N/A,N/A,N/A,58.3,Coventry,2017,N/A,N/A,N/A,59,Statistical Neighbours,"2016
",N/A,N/A,N/A,57.8,Statistical Neighbours,2017,N/A,N/A,N/A,63,England,"2016
",N/A,N/A,N/A,63.9,England,2017,High is good,Wrong direction,Equal to or better than statistical neighbours,Off-target,9214,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score A Level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.29,Coventry,"2016
",N/A,N/A,N/A,28.95,Coventry,2017,N/A,N/A,N/A,27.94,Statistical Neighbours,2016,N/A,N/A,N/A,29.06,Statistical Neighbours,2017,N/A,N/A,N/A,30.45,England,"2016
",N/A,N/A,N/A,32.14,England,2017,High is good,Right direction,Equal to or better than statistical neighbours,Off-target,9550,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade A Level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Grade C-,Coventry,"2016
",N/A,N/A,N/A,Grade C+,Coventry,2017,N/A,N/A,N/A,Grade C-,Statistical Neighbours,2016,N/A,N/A,N/A,Grade C-,Statistical Neighbours,2017,N/A,N/A,N/A,Grade C,England,"2016
",N/A,N/A,N/A,Grade C+,England,2017,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score per tech level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.63,Coventry,"2016
",N/A,N/A,N/A,29.29,Coventry,2017,N/A,N/A,N/A,30.82,Statistical Neighbours,2016,N/A,N/A,N/A,32.35,Statistical Neighbours,2017,N/A,N/A,N/A,30.77,England,"2016
",N/A,N/A,N/A,32.25,England,2017,High is good,Right direction,Equal to or better than statistical neighbours,Off-target,9565,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per tech level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Merit +,Coventry,"2016
",N/A,N/A,N/A,Merit +,Coventry,2017,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2017,N/A,N/A,N/A,Distinction -,England,"2016
",N/A,N/A,N/A,Distinction -,England,2017,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Locally committed,Improving educational outcomes,WORSE,TRUE,Key Stage 5 level 3 average point score per general applied entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,35.08,Coventry,"2016
",N/A,N/A,N/A,34.49,Coventry,2017,N/A,N/A,N/A,34.41,Statistical Neighbours,2016,N/A,N/A,N/A,36.27,Statistical Neighbours,2017,N/A,N/A,N/A,34.67,England,"2016
",N/A,N/A,N/A,35.69,England,2017,High is good,Wrong direction,Equal to or better than statistical neighbours,Off-target,9556,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per general applied entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Distinction,Coventry,"2016
",N/A,N/A,N/A,Distinction,Coventry,2017,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2017,N/A,N/A,N/A,Distinction ,England,"2016
",N/A,N/A,N/A,Distinction ,England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
